Geneid,Int._Ctrl_#1_1,PD_126_R10_S1_1,PD_126_R11_S1_1,PD_126_R12_S1_1,PD_126_R13_S1_1,PD_126_R14_S1_1,PD_126_R15_S1_1,PD_126_R16_S1_1,PD_126_R5_S1_1,PD_126_R6_S1_1,PD_126_R7_S1_1,PD_126_R8_S1_1,PD_126_R9_S1_1,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1
b0001,12.54998097201443,9.613360818916654,9.284311099136168,9.77408852654156,9.605300657258763,9.731442098395325,10.175554902864018,10.150917425854491,9.836503667054194,9.73914892152613,9.352922594946142,9.84156261019493,9.22453236365463,10.542070515068108,10.524912790304166,6.857832286520706,6.906025748916629,7.443168434091143,6.222592833442658,6.562537627275866,6.1327689147469,8.685034587071808,10.323595928979833
b0002,10.442411807277402,9.884107927965585,8.968561883253196,8.879800744757535,8.979214162876046,9.551626120782323,10.052157141787387,10.105884787839988,8.840125454278743,8.879553681779846,8.87600654279604,8.621535958062058,7.686420758054413,6.983475611095836,6.571052111297177,7.292859911179274,7.389042159649024,7.505922175354041,7.447070908143826,7.48514195339585,7.472657100139886,5.673379757431658,10.94413240360824
b0003,9.532182831067347,9.207277513766492,8.47470154266235,8.360725171222297,8.391315608223866,8.75694175780134,9.23011670696521,9.35369085526108,8.46283130056053,8.285813663596919,8.433854638946775,8.00276220828474,7.382412939106889,6.279387134652606,7.662864208008055,6.9658791352239255,7.184361989492166,7.27429447879151,7.027987102366468,6.99949159128091,7.137967891785562,6.7974053241493575,10.051119472616872
b0004,9.081277510385272,8.920399122571757,8.211129461860699,7.974355042112126,8.08408236865955,8.385437336764529,8.84428659578204,8.956959703438462,8.035050527883852,7.937154442736974,8.115912124438404,7.730761286385491,7.2058842200856565,6.114675620493188,7.631414056618623,6.980478566076665,7.101835628726428,7.120166829481776,7.007431794504187,7.047836198028546,7.111749831641468,5.485923336581158,9.567756799580847
b0005,5.293690200477873,5.80117275128556,6.031485479914655,5.784698762812576,6.087463047910135,5.822245107795891,6.174077733963517,6.24710180649449,6.0180496814618785,5.807079026656754,5.409606047276513,5.590691833693155,4.934071798133184,3.766328999332126,3.76021639990918,3.809158644692844,3.996344237953119,4.185987637904856,3.633577527341857,3.6300163479539984,4.117914412189153,4.47828684541244,5.279205274560736
b0006,6.0013051510636295,6.004868823138172,5.828239595864921,5.703190571134907,5.889830813459161,6.121589606734132,5.945388623849822,5.738416419032909,5.806807182855996,5.706186278295836,5.909508730535477,5.857058424725132,6.093390957510773,6.5343311729383275,4.547598527877058,2.337528703986918,2.3227009033926027,2.4960143585266668,2.5682187274573702,2.3676506776212785,2.5674833455070716,4.901927433048736,4.402816012453566
b0007,3.948157632960405,3.9029266086509184,3.8600155498965094,4.260810448132487,4.1307477032743,3.690991021247198,3.8213859441859874,3.8425239771344155,3.898794433215738,3.9803101476436984,4.088251038060694,3.6761192162425482,3.845040656857902,3.8438512575990145,4.118729409098882,3.447104432672256,3.277010184853177,3.414182548249695,3.574721212316352,3.4543836911994004,3.4705562713313713,4.387403731652248,3.8445136332384098
b0008,9.914653840128087,10.950165465308903,10.796556430068451,10.72179462031353,10.754783835978472,11.085125031765298,10.893807346597722,10.963857544541549,10.689571603206677,10.716376805272255,10.7381325916884,10.879542671245062,10.918127740926318,9.518293859217374,8.848363274178574,9.272278641668866,9.4596011780245,9.495662037841125,9.51184640020368,9.52888706533746,9.503004977958318,9.708944190956451,9.694973216240612
b0009,4.690627232878033,5.839140848872651,5.594643212114839,5.46934670706433,5.560163467884093,5.794047913106505,5.726625401288157,5.848133188292383,5.499711400840314,5.561627626761343,5.680288897832051,5.82622926309546,5.454588778738124,5.35347217800135,4.198243504944732,6.509446035276122,6.41149968697122,6.5743448073677,6.629144583347438,6.661379248485217,6.628268953245895,6.265505450764236,5.939642956479441
b0010,5.475974788171912,6.306687784280447,5.992921786489583,6.195904885231417,6.299252807630589,6.030268032363786,6.092790379853405,6.238100878920456,6.196135620566573,6.222127621809361,6.154346121334035,6.061639741569961,6.180824970658359,6.776329777003764,6.985096775306804,7.169324893935814,6.990484255444223,6.93827843152222,6.9442184222900085,7.082340574715857,6.943341038435759,7.544641862738008,7.33857278401644
