Geneid,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1,PD_132_R10_S1_1,PD_132_R10_S2_1,PD_132_R11_S1_1,PD_132_R11_S2_1,PD_132_R12_S1_1,PD_132_R12_S2_1,PD_132_R13_S1_1,PD_132_R13_S2_1,PD_132_R5_S1_1,PD_132_R6_S1_1,PD_132_R7_S1_1,PD_132_R8_S1_1,PD_132_R8_S2_1,PD_132_R9_S1_1,PD_132_R9_S2_1
b0001,9.744800567389289,10.45448160789569,10.96187323190674,10.434192492157601,10.221537568737006,9.69176928460271,11.011117128031936,9.842717546495257,10.145496818462927,7.230938341327863,4.022883218422474,4.039730154729225,5.468445047257895,4.157556625678749,4.785082857918004,3.2182749611960375,10.77266231928898,9.987086230120882,9.265382106059334,9.609505638955564,7.612046403960743,9.626369882508952,7.560891050919197
b0002,8.814413707350779,6.305648908960802,6.161097270205587,6.1955390365335195,6.842823719042129,6.691694694985598,6.904192220858102,6.912469968886047,6.126492919003622,6.654887765823653,6.180717305031628,6.206524718432513,6.000163471605576,5.877310967827712,5.681326750742791,5.8408612723472215,5.7129891451736645,5.779928543034821,5.728278500983319,5.775416505618819,6.187596938191537,5.969319380677747,6.424203096134982
b0003,8.51985438992075,6.4499482982004865,6.4666566569529795,6.496631768031476,5.963528121633016,7.843477069075736,6.046817395793205,7.946063334722301,6.344830102294681,7.288539348878065,5.566971031339569,5.58453918670867,5.8488529816837636,5.587132707815108,5.826858709228562,5.637262840980509,6.824147173405713,6.88836645467305,6.6827880495640715,6.717846248767656,7.088401701179745,6.591961756090445,7.047857168508981
b0004,7.555920919654563,6.171899143527632,6.092188700506824,6.048484856661996,5.933725686601088,7.815430713707442,6.042057691428066,7.98634051565969,6.039659951369979,6.345224054767942,4.492788860732494,5.1640699476096215,4.935000499442348,4.945095892087174,4.724407172344039,4.965554875506028,6.06740791198588,6.082302290037371,5.968336082406168,6.03453985683518,6.273657471073963,6.141208190196594,6.296763779425746
b0005,5.193782746964573,3.6390048868273714,3.912070668762539,3.554808238403348,3.8416128551132673,4.15956595365964,3.827428749290888,4.334063217055289,4.508379671737656,4.118971679287586,3.4816267125608604,2.1481564118120637,3.788941064481845,4.3014530042816315,3.438443705912641,3.5940283722708872,4.876854765528094,4.960393874810325,5.1077354952487255,4.701707550294915,3.971745599786298,4.70371607241823,4.234962589980064
b0006,4.677647009753668,5.672474119998685,5.337539163194348,5.642223939223949,6.4456546041769665,4.443956403491809,6.307126506621234,4.774926336916436,6.18426236512576,4.753612009977539,3.0227637242569183,2.918461325415884,3.433291713188703,2.586974247212131,2.958100975712299,3.443378318402437,5.62228279846372,5.666587281984185,5.742029958665589,6.241058226640436,4.7657067755338325,6.589798220921697,4.6532585597811575
b0007,4.226135866561009,4.09745231850361,3.8864317359946763,4.0607514278479035,4.121436942228357,4.011387983704997,4.161035017813243,4.1191892257049885,4.754133267428281,4.430412508968792,4.011484465099998,4.260547082057209,4.056142751068833,3.747568225698583,3.9352236066028383,4.12715050265543,4.73300440919171,4.711984301315477,4.734967858167848,4.738167853311911,4.6758056927815925,4.527451093855818,4.5775044476019975
b0008,9.705465752408758,9.36225871766051,9.270801567531013,9.355871014522533,9.560383102992134,9.015462651333266,9.498190205190244,9.055888988199044,10.365418112101866,9.48123212126935,9.458182569940606,9.740421413223155,9.634607521716898,9.709471502960126,9.344078518542712,9.521337361465566,9.689884302560744,9.791876205786869,9.827144104021139,10.036781486079517,9.217383222018157,10.233685297529842,9.403158893755673
b0009,6.331091966787724,4.650448169533559,4.529990347290123,4.351843398341385,5.182861186862435,3.9998347422036633,5.032983869361343,4.029475889500489,5.7968261945291575,5.134172976471222,6.572605551742571,6.653841808517083,6.857488748009341,6.740000669947141,6.772979998225497,6.275302432642966,5.250779818361136,5.3341056519863015,5.379595482185962,5.688079287304232,4.785948172605376,5.729517389473941,4.6759153572122
b0010,7.574578836517487,6.80349057124372,6.910388606522435,6.889802091246972,7.010761669844868,7.146592903829149,6.957321286524892,7.103873824897212,7.02980716832362,6.917331464274476,6.415334243314905,6.291225086431764,6.644846443034676,6.329455117746177,6.2722512276092175,6.327104483805638,7.3327213032694365,7.203873912668996,7.221815346910664,7.225221112691051,7.0258270484606,7.202551316215935,6.905288275728847
