Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L]
DDB_PD_131_AMBR_R05__S01,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S01,22.80612902,1.0,75.28,0.0,0.24219878075253623,0.15385206219536302,0.0,0.0,0.0,11.213360738332154,0.0,0.5177684630510001
DDB_PD_131_AMBR_R05__S02,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S02,29.82632372,1.5,109.3,0.0,0.33688561779981313,0.12298713249020121,0.0,1.1482469632237755,0.12802979052512684,9.585859721688385,0.0,0.792403518021346
DDB_PD_131_AMBR_R05__S03,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S03,36.82505495,1.5,152.7,0.0,0.3781793840891768,0.091179186117117,0.18350299463333902,1.0685476595225643,0.18302459642869623,8.430796725522844,0.0,0.8626368359540847
DDB_PD_131_AMBR_R05__S04,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S04,43.82461602,1.5,178.4,0.0,0.3853658701450027,0.0489114066486431,0.18959217779690335,0.8172964766988042,0.19383313648260453,7.130181506534081,0.0,0.8736923808443025
DDB_PD_131_AMBR_R05__S05,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S05,50.82585031,1.5,212.0,0.0,0.3743852617969854,0.0,0.0,0.6181802850541464,0.20527484233716986,6.3368288012300065,0.0,0.8241734706841504
DDB_PD_131_AMBR_R05__S06,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S06,57.82693571,1.5,232.8,0.0,0.2670367749579792,0.0,0.0,0.0,0.1821020194405818,5.404866232573874,0.0,0.6771860310959135
DDB_PD_131_AMBR_R05__RNA1,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,RNA1,66.99534131,0.5,,,,,,,,,,
DDB_PD_131_AMBR_R05__S07,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S07,68.08973205,1.5,263.9,0.0,0.15444950730418952,0.0,0.0,0.0,0.17394637508627941,4.146665644656511,0.0,0.34518518281927285
DDB_PD_131_AMBR_R05__S08,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R05_Main_,R05,S08,68.34746443,5.5,279.1,,,,,,,,,
DDB_PD_131_AMBR_R06__S01,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R06_Main_,R06,S01,22.70502773,1.0,73.86,0.0,0.23827516661637244,0.18101252223657657,0.0,0.0,0.0,11.252896611281676,0.0,0.539993142319153
DDB_PD_131_AMBR_R06__S02,DDB_PD_131_AMBR,DDB_PD_131_AMBR_DDB35-006_R06_Main_,R06,S02,29.72527404,1.5,110.7,0.0,0.2800305599018735,0.13606918844978225,0.0,1.0594738326205517,0.03021603633896531,9.542563049062343,0.0,0.743571846063056
