"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",472.08767370423,-3.49456837114588,0.338211282359388,-10.3325008756878,5.0233524220789e-25,1.11057372843409e-24
"b0002",5012.01727218669,1.61889226441074,0.598068278739879,2.70686863349737,0.00679211281280866,0.00821693871292579
"b0003",1548.55219444296,1.03275141646443,0.599949509555398,1.72139721762547,0.085178768824322,0.0960701166088903
"b0004",1784.11048349479,1.36447721425101,0.668074452821608,2.04240292154287,0.0411115801934706,0.0473422637112261
"b0005",43.065377001017,0.612392451714591,0.2646937360479,2.3135887567954,0.0206902910036717,0.0242713029081533
"b0006",192.515498470316,-2.97698528982596,0.371222633163274,-8.01940674914776,1.06257100140765e-15,1.93605174888369e-15
"b0007",170.398048884773,-0.226092675016507,0.152182016085746,-1.48567275445422,0.137365700629178,0.151574738706998
"b0008",5726.43772205172,0.529322863266119,0.0758825940892398,6.97555044894252,3.04675522314826e-12,5.10859344616922e-12
"b0009",301.124946333063,2.50141066175983,0.207148139614238,12.0754676649189,1.42352614266248e-33,3.62877676508016e-33
"b0010",665.674665994755,0.543490361494555,0.139519640108198,3.89543981817239,9.80206990082604e-05,0.00012848899739854
"b0011",42.3676978177873,0.669716555962095,0.212134724234584,3.15703408943792,0.00159382712321424,0.00198472261950572
"b0012",25.1437491352063,4.24787269753003,0.429178776889334,9.89767650748809,4.26058321583424e-23,9.07653020549832e-23
"b0013",4.52616759983146,0.738255711052258,0.597176590285095,1.2362435551933,0.216368045215456,0.235213354374534
"b0014",26516.4327300369,1.93369858423552,0.14093663548675,13.7203401908748,7.67046599292191e-43,2.27073056837627e-42
"b0015",3753.23671163433,2.8768610352895,0.107531605808688,26.7536322335573,1.12028921393355e-157,1.16633956383322e-156
"b0016",1627.94614574512,3.63538282486046,0.126066886169263,28.8369367668798,7.38878693975522e-183,9.24879660002308e-182
"b0018",160.839818098152,0.686752729267734,0.165657202019547,4.14562555020517,3.38887249244839e-05,4.52581152167561e-05
"b4412",0,NA,NA,NA,NA,NA
"b0019",3226.37976213507,-1.74051845837581,0.191657386766509,-9.0814055630229,1.07181651804174e-19,2.13427004121324e-19
"b0020",513.450743244087,-0.789439649962791,0.0988433832806113,-7.98677284974769,1.38516982226031e-15,2.5164305789469e-15
"b0021",70.9352776785616,2.20206576207169,0.217834102600967,10.1089119461955,5.04413411528585e-24,1.09559402473937e-23
"b0022",145.928173539223,0.954641440364574,0.183390255108579,5.20551890720346,1.93455247833769e-07,2.80970717091902e-07
"b0023",2167.12061697231,-6.48387009364518,0.185339015178794,-34.9838380623221,3.9623971402895e-268,8.98489110711719e-267
"b0024",181.953122246614,1.67465912306418,0.208299329004954,8.03967603287071,9.00762992345168e-16,1.64399684780738e-15
"b0025",1946.42988470439,-0.922365572896108,0.0949919187551393,-9.70993727659813,2.7350537132463e-22,5.74746124797173e-22
