"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",472.08767370423,-0.973468129893005,0.379807124791352,-2.56305915911341,0.0103754367978354,0.0180683621919683
"b0002",5012.01727218669,3.42099999357535,0.690415951169815,4.95498400316351,7.23362401783601e-07,2.11824378777875e-06
"b0003",1548.55219444296,2.48203008455129,0.69231175556329,3.58513352489851,0.000336905790951111,0.000738437111980797
"b0004",1784.11048349479,2.21893206192395,0.771135434012031,2.87748683830981,0.00400856631937999,0.00744153481750311
"b0005",43.065377001017,1.31828246514851,0.283177328057921,4.65532489549752,3.23470218062975e-06,8.93462700529811e-06
"b0006",192.515498470316,-0.984014601613531,0.40987514792447,-2.40076668857918,0.01636076416498,0.0275392419737771
"b0007",170.398048884773,0.0867811421340122,0.169188178005425,0.512926749120907,0.608002561343679,0.673123490076552
"b0008",5726.43772205172,0.301241944859064,0.0874628727858902,3.44422650736052,0.000572695703528517,0.00121824415126818
"b0009",301.124946333063,1.64582562085059,0.23732196037553,6.93499083795825,4.06247488960217e-12,1.72326922104476e-11
"b0010",665.674665994755,0.551915664333291,0.159816735562412,3.45342846849574,0.000553509077588866,0.00117974794047115
"b0011",42.3676978177873,-0.552713514858946,0.263244145254667,-2.09962320082842,0.0357620002072058,0.0560975091986266
"b0012",25.1437491352063,1.51448535354467,0.500431010475662,3.02636191970826,0.00247515841828624,0.00477076595887749
"b0013",4.52616759983146,0.513521298362745,0.659860400322769,0.778227179736135,0.436435096273786,0.511971939859634
"b0014",26516.4327300369,2.44615427704117,0.162663126698585,15.0381609322799,4.12861160659686e-51,7.29837423190653e-50
"b0015",3753.23671163433,1.89649208473403,0.123795963253119,15.3194985918593,5.66528418647541e-53,1.04409982177128e-51
"b0016",1627.94614574512,1.51524218351405,0.145539784798479,10.4111888416773,2.20451236401971e-25,1.74228887747616e-24
"b0018",160.839818098152,0.438274293717686,0.188509711576821,2.32494278438849,0.0200750198166475,0.0332104319426664
"b4412",0,NA,NA,NA,NA,NA
"b0019",3226.37976213507,-0.425376591492275,0.220382882204747,-1.93017074301206,0.0535856853524511,0.0810050971244209
"b0020",513.450743244087,0.0212409284515024,0.108293818170962,0.19614165249922,0.844499295410455,0.87752553944882
"b0021",70.9352776785616,2.98210023366909,0.226928865163791,13.1411234596211,1.91364280588923e-39,2.4448339210343e-38
"b0022",145.928173539223,2.44486103794049,0.196514021468499,12.4411531537071,1.56231970619652e-35,1.78063332829925e-34
"b0023",2167.12061697231,-0.915040018872264,0.168545139731765,-5.42905016619598,5.66547588376075e-08,1.81353851090671e-07
"b0024",181.953122246614,1.86220082641662,0.234864188624287,7.92884107757949,2.21200399439686e-15,1.15008274906756e-14
"b0025",1946.42988470439,0.4339732490519,0.107428507379426,4.03964701398255,5.35317053258711e-05,0.000129522957370201
"b0026",5036.27201037033,0.570775110073142,0.264890451479453,2.15475909714857,0.0311806905637409,0.0495754665314104
"b0027",707.768278777499,0.260733128054351,0.394729903736556,0.660535534770035,0.508910222640346,0.579261543825319
"b0028",485.910869604189,0.604247196090805,0.385152249632401,1.56885282811541,0.116682235566838,0.162335612669443
"b0029",836.346305945029,0.575131791437367,0.362946076245166,1.58462049621077,0.113052585253494,0.157691061749721
"b0030",69.3620949092858,-2.01470273777385,0.215154966037604,-9.36396112475381,7.68020954796565e-21,5.03222202000593e-20
"b0031",377.932224669397,-0.703741073047752,0.130912659426237,-5.37565332590525,7.63054854041434e-08,2.40873948458706e-07
"b0032",1002.03199616515,-4.89188321255388,0.415921270395687,-11.7615605662581,6.15853457105172e-32,6.0757661109852e-31
"b0033",1544.12132775634,-4.1407228683922,0.54626164196865,-7.58010914599389,3.45264378074489e-14,1.65780490181886e-13
"b0034",88.5953164352798,-0.175535583425677,0.254831862802413,-0.688829024342927,0.490930868381874,0.563984506886445
"b0035",149.116685002085,0.317085936931014,0.318514174838554,0.995515936117241,0.319485397483556,0.392870884866916
"b0036",124.556426187833,1.19529283733439,0.531531322978816,2.24877215257176,0.0245269959541767,0.0399347441644884
"b0037",665.380320493865,1.22769228703654,0.170830002999715,7.18663153707599,6.64093101645501e-13,2.94691313855191e-12
"b0038",966.960927039352,2.27145101239763,0.203157189362229,11.1807562386957,5.06564663866282e-29,4.60909991429594e-28
"b0039",886.5189015119,2.20233818388661,0.121621892733147,18.1080735909841,2.75211903901957e-73,7.49649531949293e-72
"b0040",31.6327981700302,0.559424353648092,0.309678514599865,1.80646808633438,0.070845254745094,0.104222417901156
"b0041",862.638527905331,0.0569599426105001,0.520549361625155,0.109422749905352,0.912867190272718,0.934222070196394
"b0042",657.370262945758,-0.138050034603345,0.500340924612024,-0.275911938865268,0.782615703836061,0.826709417881459
"b0043",744.984900741946,0.405353309275456,0.392202012192101,1.03353194699296,0.30135502802659,0.374081004982276
"b0044",80.7580533387822,-0.165554266658539,0.85536615593776,-0.19354783388295,0.846529948174092,0.87858164522933
"b0045",300.94007219006,0.528745878349258,0.335595126372789,1.57554695166196,0.115130249867355,0.1603309042365
"b0046",97.8413470652203,-1.86057574139958,0.182577951149525,-10.190582869866,2.18450500543905e-24,1.6511502929418e-23
"b0047",180.580599319478,-1.92255989849927,0.138677922811963,-13.8634892960296,1.05422319806731e-43,1.50687810918467e-42
"b0048",455.663692724872,-0.535884117934237,0.1778672489522,-3.01283187934306,0.0025882225904952,0.00496438974288517
"b0049",530.612839934175,0.583276462121632,0.108101802863053,5.39562196627326,6.8286586846729e-08,2.17302871148555e-07
"b0050",726.568653905398,0.675376678439668,0.171339887831325,3.94173643386846,8.08938404845291e-05,0.000190719228709034
"b0051",1045.06537763062,0.305468661913603,0.143444607236802,2.12952349898611,0.0332109728124231,0.0524568647886961
"b0052",510.634346922488,-0.442886646987529,0.204582979450375,-2.16482645906014,0.0304009777398204,0.0484602998127206
"b0053",1706.17801663423,-0.806886639027497,0.242597997916934,-3.3260234872333,0.000880945050565125,0.00182118043627568
"b0054",4520.10873485516,-0.610213393752457,0.117182451917036,-5.2073786114706,1.91527049416181e-07,5.85807663150762e-07
"b0055",339.99712064166,0.358990015486685,0.164812534477587,2.17817180364704,0.0293932484385172,0.0470792008088824
"b0056",376.582048715032,0.301426639338956,0.168831860859066,1.78536585337157,0.0742019935752862,0.108791074534382
"b0057",242.791095363007,-0.59132114598779,0.244980924589509,-2.41374362913606,0.0157895679130703,0.0266502800590442
"b0058",666.679212222655,0.472766391061267,0.19923548792255,2.37290251847627,0.0176489211607011,0.029512539593435
"b0059",1922.20078281454,0.886320018605387,0.069464471231541,12.7593286595543,2.76574379042486e-37,3.32734343231391e-36
"b0060",554.351570879326,0.709506230017549,0.188517235103258,3.76361466169884,0.000167474883670206,0.000380552844268448
"b0061",0.899759607364808,-0.576387874094087,1.78993091011286,-0.322016828044913,0.74743994605087,0.797330641957221
"b0062",0.122702994330311,0,5.26772162579931,0,1,1
"b0063",0,NA,NA,NA,NA,NA
"b0064",303.809975417055,-0.90483870376883,0.147401386127251,-6.13860376446994,8.32499268916152e-10,3.02225845236869e-09
"b0065",1226.04943440712,-0.334642428318612,0.164403960691705,-2.03548884656218,0.0418017096804966,0.0647276384076621
"b0066",16.1244268983951,-1.12719121689117,0.416683513287484,-2.70514954623003,0.00682736457781486,0.0122288320870621
"b0067",51.3608571451368,-0.265327237915158,0.2436415528529,-1.08900651308585,0.276151013542924,0.346569121893482
"b0068",105.936193129649,0.156263771824926,0.281238985829009,0.555626281201045,0.57846636135169,0.646205264641261
"b0069",778.833110580537,1.26866191025694,0.108746869326788,11.6661924900529,1.8972596828682e-31,1.84652397449487e-30
"b4662",495.251372970589,2.43188007831627,0.322402749171604,7.54298803147569,4.59323325817377e-14,2.18848110463703e-13
"b0070",284.504693469896,-0.218061894678526,0.130896644355919,-1.66590897537142,0.0957315456779453,0.135760747980085
"b0071",1660.83660150144,0.701371292027866,0.676659467024823,1.03652032699948,0.299959461341743,0.37266908407088
"b0072",4238.28989106947,1.26524889333854,0.786917821092689,1.60785390726272,0.107867178773732,0.150846868346474
"b0073",3699.12711065685,1.39501268870525,0.814164513529624,1.71342850925483,0.086633735143375,0.124447995657034
"b0074",4760.87156320534,1.46102828580143,0.729694820006864,2.00224565906565,0.045258317229552,0.0695577615050355
"b0075",116.151915151057,-0.975042179227745,0.463792847374701,-2.10232258808425,0.0355250272058667,0.0557661808005106
"b0076",1509.06112431304,1.33103988492396,0.154978919116977,8.58852218422883,8.80950634196487e-18,5.08719626227331e-17
"b4726",0,NA,NA,NA,NA,NA
"b0077",1127.39875957383,-1.24814247163154,0.207142766510851,-6.02551801665812,1.6856883758702e-09,5.99894523902534e-09
"b0078",514.885206720891,-1.5304615995539,0.205090911745787,-7.46235699342414,8.49882373092793e-14,3.96215345303002e-13
"b0080",875.784824129965,-0.153790642258654,0.16322287635446,-0.94221254822564,0.346083830759679,0.420445742221646
"b0081",910.192917404892,0.129433222399175,0.115345131199356,1.12213858576718,0.261803520038637,0.330864034224492
"b0082",928.535337617094,-0.254374151930018,0.149960362748691,-1.69627591763236,0.0898336389881764,0.128405772428314
"b0083",311.7238434173,-0.594118533749911,0.187317704756529,-3.1717158531391,0.00151541201969409,0.00301066488866749
"b0084",790.961996658235,-0.887152248477275,0.246206494921185,-3.60328531853421,0.000314220284549179,0.000692563894342237
"b0085",626.228859809239,-0.804806894605352,0.370218336802529,-2.173870969105,0.0297148268322687,0.0475074091094958
"b0086",481.155598438211,-0.853384866102024,0.362729249673571,-2.35267728442083,0.0186388024332588,0.0310002508980199
"b0087",579.597657701789,-1.17000507320055,0.289076040484597,-4.04739552693194,5.17906853379144e-05,0.000125661321119612
"b0088",597.420305706611,-0.75022107438552,0.150798933824952,-4.97497598528369,6.52557292599782e-07,1.91608517576248e-06
"b0089",776.138722306373,-0.797007947933757,0.147983579921176,-5.38578637142234,7.21285924391462e-08,2.28688824197615e-07
"b0090",695.080484966594,-0.830488306044456,0.164314087698884,-5.05427329862538,4.32032586865274e-07,1.28335605878841e-06
"b0091",885.899993622247,-0.879420222940348,0.245392574154984,-3.58372793459075,0.000338724906527483,0.000742042271204111
"b0092",1285.3027300857,-0.570231632869828,0.28609955446692,-1.99312310685811,0.0462479683348021,0.071028351368095
"b0093",1272.81833210457,-0.661228505150877,0.317250751077641,-2.08424567287803,0.0371378262201523,0.0581083545373843
"b0094",3540.52924015471,-0.250788988090748,0.210187217336811,-1.19316955268919,0.232802976390384,0.298040109591118
"b0095",8975.27603979828,-0.375753331313271,0.173029400483551,-2.17161551888398,0.0298846754778584,0.047760342986939
"b0096",73197.2871743422,2.1835507746351,0.196647671751988,11.1038730089263,1.20123122295999e-28,1.06609271037699e-27
"b0097",1155.82412330521,0.328103886261419,0.152817155336217,2.14703568810419,0.031790440538247,0.0504153782391607
"b0098",3556.56521974809,0.846540211463516,0.209223486425687,4.04610508086622,5.20768633986653e-05,0.000126284935822855
"b0099",103.538590652637,0.786645595508601,0.260940033150799,3.01466044136659,0.00257267101469151,0.00493674708224587
"b0101",110.838058154375,0.0748583445027449,0.139567964133346,0.536357644589728,0.591711398207891,0.658453768149634
"b0102",404.319184101435,-0.400795272951774,0.0996906912119723,-4.02038814335797,5.8102332236177e-05,0.000140034057270385
"b0103",374.523762178157,-0.521205058057207,0.0981783423108419,-5.30875797848595,1.10374778129962e-07,3.43168100560564e-07
"b4727",0,NA,NA,NA,NA,NA
"b0104",473.882457587189,-1.97207975901453,0.227172293625279,-8.6809871377514,3.9234852336659e-18,2.29629926310905e-17
"b0106",106.713296728992,-0.0155387867017333,0.174516816133848,-0.0890389078025333,0.929050988946082,0.946534893701595
"b0107",336.683539560137,1.68834325615797,0.167329744100733,10.0899171586708,6.12211626013806e-24,4.5402201237428e-23
"b0108",2.82349245922468,-0.679873439173309,0.941842074475954,-0.721855030262473,0.470383611802489,0.544491871492928
"b0109",508.50406231863,-0.0135347062147401,0.306057361239899,-0.0442227762792842,0.964726826965446,0.973298050783686
"b0110",435.687579989709,0.696549890918859,0.113366719349114,6.14421847009463,8.03581778483453e-10,2.92217689555989e-09
"b0111",334.108532630424,-0.0559809543415435,0.124270985648399,-0.450474855811725,0.652368080521817,0.713666622061124
"b0112",1858.42669552679,-3.03913654341766,0.17196407609275,-17.6730897084487,6.75914011715413e-70,1.69212923973379e-68
"b0113",6356.4620887761,1.32131836964121,0.279274351357458,4.73125571044647,2.23135229083426e-06,6.24288551137156e-06
"b0114",48524.3775871325,1.85007740330815,0.183541688156159,10.0798757050447,6.7811849737958e-24,5.01182800708355e-23
"b0115",21589.312680454,1.60582332039399,0.272736904132558,5.88781091250309,3.91344488299095e-09,1.36247024021172e-08
"b0116",17879.0924436056,1.29926788765785,0.0975531612881384,13.3185626226941,1.80550132625312e-40,2.36958371030372e-39
"b0117",73.7920106100866,-0.779088043830789,0.206215858588456,-3.7780219676781,0.000158078937783642,0.000359957875678734
"b0118",21468.1557325138,-0.106374449879867,0.12937847857033,-0.822195863294543,0.410965432747768,0.486176260374374
"b0119",349.927653793895,0.270757820221316,0.224189669033175,1.20771764992101,0.2271558866203,0.291499894800746
"b0120",481.881706692317,-0.94127876468391,0.198944267519509,-4.73136912372509,2.23010578559949e-06,6.24288551137156e-06
"b0121",522.39959421643,-0.805420276025778,0.131726479840585,-6.11433841548406,9.69583554086903e-10,3.49938864395865e-09
"b0122",355.75343469273,0.233223772672617,0.254452777735202,0.91656996142256,0.359368031019236,0.434027591283969
"b0123",380.939881829537,-0.0995985239195467,0.094616510836268,-1.05265479607359,0.292499233399821,0.364760777383998
"b0124",2958.83833479231,0.869572322019045,0.116652683800805,7.45437047555559,9.02979355021585e-14,4.20516514688009e-13
"b0125",743.256713665619,1.06816405031371,0.182059638318988,5.86711069063077,4.43454646094649e-09,1.53894396813776e-08
"b0126",2517.10898356418,0.678688368689947,0.264019123351829,2.57060306872368,0.0101521612256386,0.0177222935381865
"b0127",418.00545110236,0.607207331943753,0.113782595930852,5.33655720346516,9.47279959108327e-08,2.96435657723856e-07
"b0128",546.108941860865,0.629273140444548,0.170651810105629,3.68746830200655,0.0002264962971885,0.000507740922941715
"b0129",168.548110180017,-1.61655828602941,0.214828940390956,-7.52486272607184,5.27757426515044e-14,2.50352400244979e-13
"b0130",294.5160589265,0.392715030564304,0.111396400577479,3.52538348212751,0.000422870156887609,0.000914810514225891
"b0131",1170.34107738531,-1.19307363650166,0.232919380873145,-5.12226003705312,3.01895162362404e-07,9.06732280299288e-07
"b0132",138.001829546899,-0.17166519598139,0.139630639945028,-1.22942354234697,0.218913047966294,0.282596843738307
"b0133",1246.97934806221,0.28842043724097,0.166853347214608,1.72858646263776,0.0838831341920982,0.12101860565822
"b0134",860.707684455114,0.208029286305866,0.247529292057648,0.840422903392853,0.400671311941971,0.475426699183747
"b0135",344.66057228585,-1.02278466557424,0.279684526747034,-3.65692259586215,0.000255261420239882,0.0005669421595174
"b0136",109.168032923026,-0.576583701670501,0.418840943017365,-1.37661733238576,0.168630589322445,0.224927342887438
"b0137",79.0168668579147,-1.21008674163403,0.413120132348094,-2.92914008996883,0.00339901192643824,0.00641163791524565
"b0138",69.1691212522643,-1.09900549286309,0.400102467466287,-2.74681008548314,0.00601779695396014,0.0109004929350068
"b0139",246.828585806159,-1.69019461016162,0.225114418445302,-7.50815794845368,5.99651294831474e-14,2.83525082741825e-13
"b0140",42.8869448381863,-0.358726824044604,0.837659311001288,-0.428249073738348,0.668469791521846,0.727788503539748
"b0141",15.2596461591178,1.73737204487523,0.71916251897094,2.41582674158445,0.0156995296973955,0.0265317908479525
"b0142",48.2435402894606,-1.59908697233634,0.428177770575391,-3.73463332808583,0.000187988879306447,0.000425159183434058
"b0143",771.440276582942,-1.08443731379086,0.411090047865533,-2.63795564845583,0.00834074896688295,0.0147685133996607
"b0144",140.485878222065,0.534295508282644,0.152360050867186,3.50679528683275,0.000453537917013046,0.000978710871242403
"b0145",3078.76487931598,-1.00612958870953,0.135660061529045,-7.41654970054776,1.20210784131668e-13,5.58020263745181e-13
"b0146",934.736125401895,-0.707648158993379,0.236715777570766,-2.98944230188387,0.00279487227710898,0.00533007126030778
"b0147",63.222744759561,0.0441802635840887,0.422555484386774,0.104554940632718,0.916728970822219,0.937288284379374
"b0148",805.610076539789,0.573247713224908,0.0771460211013245,7.43068411100552,1.08037442563626e-13,5.02049531913158e-13
"b0149",838.119618328245,-0.255627254334533,0.194537577798656,-1.31402507025714,0.188837767654932,0.248286694509262
"b0150",0.141587835541785,1.28237059636352,4.51729042020094,0.283880485219385,0.776501972068875,0.821854848736632
"b0151",35.6969781997442,2.26811132254975,0.349565911331606,6.48836528112767,8.67726962481922e-11,3.36448117682113e-10
"b0152",31.1917542605423,1.01193506775438,0.23361016463998,4.33172533101841,1.47945432516129e-05,3.81854391077088e-05
"b0153",41.9225438991163,0.366068429543831,0.233434275887336,1.56818628349381,0.116837664555449,0.162499654845744
"b0154",1154.78282283516,0.296988174479525,0.082551549904786,3.59760870416204,0.000321156287340153,0.000706772296986892
"b0155",1980.5357466857,0.671487836662677,0.163374777008962,4.11010713499453,3.95475589127895e-05,9.74846201771722e-05
"b4728",2.73897170685171,1.54500280113882,1.227665845108,1.25848805462443,0.208215304585892,0.270723651804713
"b0156",2517.56809793565,0.964470621936884,0.0998636077189032,9.65787882059782,4.55191117037948e-22,3.11935558210657e-21
