"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",472.08767370423,-0.337809484693416,0.4040132430124,-0.836134682553085,0.403079138930992,0.536814967518425
"b0002",5012.01727218669,0.740324026956234,0.736872173047304,1.00468446772071,0.315048809609904,0.447839720657399
"b0003",1548.55219444296,1.58425072976804,0.515730338129594,3.07185870723383,0.00212730394183307,0.00662694977037652
"b0004",1784.11048349479,1.95199711414691,0.62263003615593,3.13508343766772,0.0017180523804992,0.00547250593218276
"b0005",43.065377001017,0.641356382782669,0.253740762976436,2.5276048485841,0.0114843527251799,0.0290080676211266
"b0006",192.515498470316,-0.76547958207109,0.134111493180859,-5.70778509667912,1.14455804088735e-08,9.66161718013453e-08
"b0007",170.398048884773,0.298756774499019,0.136843446018115,2.18320119225491,0.0290209970093817,0.064312710491563
"b0008",5726.43772205172,-0.130468145447298,0.0575516105169428,-2.26697644558337,0.0233916646544907,0.0533410355117978
"b0009",301.124946333063,-0.230168074830659,0.14566463937051,-1.58012319136155,0.114078657216532,0.200487573899583
"b0010",665.674665994755,0.437235730119395,0.0949618259479741,4.60433153801128,4.13792813777754e-06,2.31484095823497e-05
"b0011",42.3676978177873,0.183400231873915,0.236247594551455,0.776305181951686,0.437568814148133,0.570788689669116
"b0012",25.1437491352063,-0.593780957674218,0.669565098686138,-0.886815873227819,0.375178040216526,0.509083570969731
"b0013",4.52616759983146,-0.601631158897719,0.758034762858134,-0.793672254065628,0.427386256861628,0.561647182492873
"b0014",26516.4327300369,0.504790753054576,0.111797004072778,4.51524401070681,6.32439015937687e-06,3.43454824070142e-05
"b0015",3753.23671163433,0.339850635055391,0.111785511824283,3.04020288058085,0.00236418832884258,0.00726363505373778
"b0016",1627.94614574512,-0.0986730187883606,0.136868959747468,-0.720930581853024,0.470952225953004,0.602852924750213
"b0018",160.839818098152,0.369967030102867,0.12569009882138,2.94348587177605,0.00324538635758173,0.00965655954750667
"b4412",0,NA,NA,NA,NA,NA
"b0019",3226.37976213507,0.625784637805375,0.0672443339347538,9.30613185064135,1.32572692316033e-20,5.57330348092946e-19
"b0020",513.450743244087,0.219367791474945,0.0829597065127039,2.64426913614205,0.00818675325398152,0.0217255964477535
"b0021",70.9352776785616,0.104645658342251,0.266793696594616,0.392234373142844,0.694885048754231,0.790801907534298
"b0022",145.928173539223,0.173666570567605,0.171091465462855,1.01505104359112,0.310081496529705,0.443600415857523
"b0023",2167.12061697231,-0.175719503128026,0.0812556318119372,-2.16255168053731,0.0305756780896835,0.0671620947588185
"b0024",181.953122246614,0.725063815097338,0.146617567110771,4.94527244848868,7.60374440169808e-07,4.72701299115813e-06
"b0025",1946.42988470439,0.00770342448491631,0.0903372736137753,0.0852740422281422,0.932043527650826,0.955445876003237
"b0026",5036.27201037033,0.489203713492594,0.0851454700588876,5.74550487717379,9.16471154231522e-09,7.8612859007415e-08
"b0027",707.768278777499,0.828033469887067,0.0841576633133674,9.83907391539404,7.64109358259806e-23,4.05551041896392e-21
"b0028",485.910869604189,0.968059610405411,0.122968882379208,7.8723949642816,3.47915740585768e-15,7.49873215496026e-14
"b0029",836.346305945029,0.981698877660405,0.112535135584676,8.72348775837865,2.69761266388594e-18,8.74355982508373e-17
"b0030",69.3620949092858,0.285719037021187,0.145830074747918,1.95926003271329,0.0500823418117807,0.101990227018139
"b0031",377.932224669397,0.544967297055803,0.0958166158048986,5.68760744133839,1.28831549176475e-08,1.07893246115052e-07
"b0032",1002.03199616515,-0.882049345934053,0.0743372672434087,-11.8655067457065,1.78816509739818e-32,1.99803921146123e-30
"b0033",1544.12132775634,1.05472557571742,0.0674600418515105,15.6348194689684,4.2166820081054e-55,1.37723321587812e-52
"b0034",88.5953164352798,0.203744884969329,0.199198232972978,1.02282476068434,0.306390708624225,0.440696120873462
"b0035",149.116685002085,-0.252138628132389,0.332462127000328,-0.758398047944091,0.44821272613756,0.579686638799902
"b0036",124.556426187833,0.32909358372872,0.587844030795983,0.559831462919005,0.575594400845982,0.699077181347838
"b0037",665.380320493865,-0.0219007836218704,0.183989943147011,-0.119032503881863,0.905249604465785,0.938400835098077
"b0038",966.960927039352,0.300998329327711,0.227392032608925,1.32369778252247,0.185603435214309,0.298283904248096
"b0039",886.5189015119,0.445625398103895,0.136756091689702,3.2585414850478,0.00111986501706209,0.00371722216889683
"b0040",31.6327981700302,-0.441129571860594,0.319934080258463,-1.37881394662369,0.167952125534305,0.275125279713989
"b0041",862.638527905331,0.901635978382435,0.445438960142996,2.02415158766757,0.042954557042937,0.0899778239784463
"b0042",657.370262945758,-0.66234512503365,0.531980360811016,-1.24505559570637,0.213111314859291,0.333040354395491
"b0043",744.984900741946,0.497014224972843,0.367988359049981,1.35062485741659,0.17681563397946,0.286549306059843
"b0044",80.7580533387822,-1.01010812328847,1.00381882757728,-1.00626536934596,0.314287934406037,0.447283894881556
"b0045",300.94007219006,0.418965697558298,0.331688780865925,1.26312893811037,0.206542845752652,0.325142759952419
"b0046",97.8413470652203,-0.0476771027019091,0.144501729430387,-0.329941398555215,0.741444241877789,0.825684649014512
"b0047",180.580599319478,-0.095569329639915,0.112718477295042,-0.847858593669261,0.396516726705313,0.53043794000969
"b0048",455.663692724872,-0.204561456395059,0.101120345111072,-2.02295053651534,0.0430782474585449,0.0901035658664933
"b0049",530.612839934175,0.192412382192252,0.100921909065936,1.90654719052672,0.0565792492101695,0.112627985066282
"b0050",726.568653905398,0.457018177989188,0.0860695704627703,5.30986939439732,1.09703821317854e-07,8.03913223865488e-07
"b0051",1045.06537763062,0.321274591758737,0.0752314490241832,4.2704825698022,1.95050465344911e-05,9.54129350062777e-05
"b0052",510.634346922488,0.414579290308176,0.0761267231882081,5.44591009497692,5.15411664930243e-08,3.957392277204e-07
"b0053",1706.17801663423,0.2626189872475,0.0742680534831476,3.53609627465316,0.000406086673006468,0.00149803997705079
"b0054",4520.10873485516,-0.118070362287478,0.0744975574898117,-1.58488903886045,0.112991547379244,0.199071415009241
"b0055",339.99712064166,-0.403342371588431,0.100487855628616,-4.01384196194917,5.97383517558124e-05,0.000259620308654227
"b0056",376.582048715032,0.0925045796397863,0.0988979692008046,0.935353682055523,0.349606058579696,0.482113453955632
"b0057",242.791095363007,0.503010682816929,0.140999945174455,3.56745303832968,0.000360467955811205,0.00134494458732371
