"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",472.08767370423,-0.0918288806604576,0.403661806638823,-0.227489643930127,0.820043021106196,0.90911296804619
"b0002",5012.01727218669,0.613759977230778,0.736854256424408,0.832946233097782,0.404875053435316,0.599616141223004
"b0003",1548.55219444296,-0.458324964882178,0.516451059742191,-0.887450913763196,0.374836182489745,0.569429134472793
"b0004",1784.11048349479,-0.157133374502665,0.623093364940809,-0.252182711843822,0.800899840277867,0.898993774520051
"b0005",43.065377001017,0.0268412510802882,0.260575789000898,0.103007463522237,0.917957047432348,0.963095039139548
"b0006",192.515498470316,0.804018489202226,0.123905984543492,6.48893991815231,8.64424272889898e-11,1.81700270430223e-09
"b0007",170.398048884773,-0.0472310844010086,0.137295627869679,-0.344010112585963,0.730838680987062,0.858644449217229
"b0008",5726.43772205172,0.112702114782512,0.0571854873719591,1.97081672224717,0.0487448432725373,0.125817996677929
"b0009",301.124946333063,0.619301499601588,0.131953158102526,4.69334352058779,2.68775595184736e-06,2.51370303337971e-05
"b0010",665.674665994755,-0.0326497509046766,0.0955799915294819,-0.34159608493589,0.732654883931488,0.859237258630946
"b0011",42.3676978177873,-0.00319599013982765,0.234200945420919,-0.013646358831232,0.989112118907612,0.994970399640303
"b0012",25.1437491352063,-0.878305256377618,0.669622559873955,-1.31164227283941,0.189640862769524,0.355660381324823
"b0013",4.52616759983146,0.366792059766528,0.650542100313725,0.563825246036562,0.572873068552829,0.745683338159201
"b0014",26516.4327300369,0.0741548427353243,0.11181801199164,0.663174397527908,0.507218866703029,0.689168418566739
"b0015",3753.23671163433,0.170155605953968,0.111626181617434,1.52433419730442,0.127425248683202,0.265089468843154
"b0016",1627.94614574512,0.0473409499299054,0.134937690007622,0.350835633300314,0.725711662762167,0.856205498978704
"b0018",160.839818098152,-0.224178094127942,0.129201796261601,-1.73510044453281,0.0827230155986012,0.190581619224992
"b4412",0,NA,NA,NA,NA,NA
"b0019",3226.37976213507,-0.185146734067698,0.0675587525661185,-2.74052919918109,0.00613403313962373,0.0230080430307795
"b0020",513.450743244087,-0.020334777935046,0.08279245112855,-0.24561149788249,0.805982987817068,0.901054177533247
"b0021",70.9352776785616,0.361620756950781,0.250449199067884,1.44388865405301,0.148770298665663,0.297400512304334
"b0022",145.928173539223,0.660046334505835,0.161168236977015,4.09538719840912,4.21463399625004e-05,0.000303825737658365
"b0023",2167.12061697231,0.267061921949522,0.0807880786488339,3.3057095355662,0.000947362401659694,0.00464492004324141
"b0024",181.953122246614,-0.0904336446034624,0.153375631136136,-0.589621988405665,0.555444106715684,0.73061204371586
"b0025",1946.42988470439,0.204357329212262,0.0898860051986674,2.273516647676,0.0229950640641395,0.06815943499143
"b0026",5036.27201037033,-0.513393078372748,0.0854828951955162,-6.00579890513204,1.90392053674249e-09,3.18269551142072e-08
"b0027",707.768278777499,-0.802868676679992,0.0886780332319467,-9.05374924791132,1.38141819388818e-19,9.02384869422955e-18
"b0028",485.910869604189,-0.562964217372504,0.127493459126367,-4.41563215266215,1.00715227122407e-05,8.36862728692249e-05
"b0029",836.346305945029,-0.459042594241953,0.115568479406167,-3.97203975167521,7.12598245791154e-05,0.000486915656370731
"b0030",69.3620949092858,0.0051904383487946,0.145781728220272,0.0356041762720222,0.97159797825121,0.985995462632562
"b0031",377.932224669397,0.277601665719479,0.0957561922842253,2.89904662139756,0.00374299233786938,0.0152668064040282
"b0032",1002.03199616515,0.741202563051217,0.0711868094205227,10.4120773087708,2.18403069708701e-25,2.50632279454904e-23
"b0033",1544.12132775634,-1.35260206780438,0.0704757361514053,-19.1924503619024,4.27976118279168e-82,9.08593299106673e-79
"b0034",88.5953164352798,-0.341069049411694,0.202471543826562,-1.6845283192183,0.0920796112282413,0.205593707170658
"b0035",149.116685002085,-0.286376602902023,0.318721577936418,-0.898516519515827,0.368910242208857,0.563248072067172
"b0036",124.556426187833,-0.0707570633404004,0.599114056775163,-0.118102826231891,0.905986184117764,0.957109376164757
"b0037",665.380320493865,-0.692963541131699,0.196365121188959,-3.52895431192626,0.000417205151780276,0.00228574590252781
"b0038",966.960927039352,0.162680759510836,0.223078549854434,0.729253259073949,0.465846757982288,0.654528568627662
"b0039",886.5189015119,0.292896399000205,0.134759795001255,2.17347020301921,0.0297449460880396,0.0846224363091841
"b0040",31.6327981700302,0.246567173106723,0.285495659464334,0.863645960745424,0.387782407904865,0.582840390783738
"b0041",862.638527905331,0.34411882078704,0.461937845849043,0.744946152126915,0.456304273195863,0.646684894522575
"b0042",657.370262945758,-0.443211551918885,0.481572478531136,-0.920342361072506,0.357393878888229,0.551855789750062
"b0043",744.984900741946,0.0977060552241335,0.373962481149722,0.261272347225163,0.793882489850421,0.896496024442789
"b0044",80.7580533387822,-1.87902125004931,1.16382818364169,-1.61451774107217,0.106415171847913,0.231712215213456
"b0045",300.94007219006,0.501600883992556,0.31564506434985,1.58912950223292,0.112031158388628,0.24073092030269
"b0046",97.8413470652203,-0.0354253484822397,0.141443187704444,-0.250456377978864,0.802234435152254,0.898993774520051
