"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",472.08767370423,-0.245980604032958,0.404023857709521,-0.60882692776477,0.542639162972736,0.629073230782455
"b0002",5012.01727218669,0.126564049725456,0.736779083607853,0.171780188310584,0.863610341424738,0.900289313291071
"b0003",1548.55219444296,2.04257569465022,0.515970861460072,3.95870357653575,7.53576936440722e-05,0.000210108701531766
"b0004",1784.11048349479,2.10913048864958,0.622667262471782,3.38725129096563,0.000705966930382656,0.00171347354739736
"b0005",43.065377001017,0.614515131702381,0.251324412847243,2.44510720124865,0.0144809092127208,0.0281050367059977
"b0006",192.515498470316,-1.56949807127332,0.130937657474223,-11.9866056988402,4.17671878368904e-33,8.65320207338448e-32
"b0007",170.398048884773,0.345987858900028,0.136652280298615,2.53188500143554,0.0113451192673394,0.0224825475641097
"b0008",5726.43772205172,-0.243170260229809,0.05743852356876,-4.23357435256337,2.30006090049406e-05,6.87794454360448e-05
"b0009",301.124946333063,-0.849469574432248,0.138777915952062,-6.1210717036973,9.29480627618028e-10,4.28154374211283e-09
"b0010",665.674665994755,0.469885481024072,0.094817922793762,4.95566098875755,7.20848078110243e-07,2.55632447028448e-06
"b0011",42.3676978177873,0.186596222013743,0.234826904847356,0.794611767910648,0.426839370833684,0.51770713605318
"b0012",25.1437491352063,0.2845242987034,0.748148344383654,0.38030465594066,0.703719279776696,0.770248857794007
"b0013",4.52616759983146,-0.968423218664247,0.73191871933256,-1.32312945834663,0.185792329748682,0.259175511537304
"b0014",26516.4327300369,0.430635910319252,0.11177353612643,3.85275374872411,0.000116796837369884,0.000317669790082662
"b0015",3753.23671163433,0.169695029101422,0.111435412139853,1.52281062045566,0.127806092123186,0.190368207393669
"b0016",1627.94614574512,-0.146013968718266,0.136391812091931,-1.07054790517667,0.284372757995302,0.372905524566826
"b0018",160.839818098152,0.594145124230809,0.127522610394951,4.65913552420765,3.17540099492066e-06,1.05038092498139e-05
"b4412",0,NA,NA,NA,NA,NA
"b0019",3226.37976213507,0.810931371873073,0.0673218431050399,12.0455907692219,2.04605278497322e-33,4.32166271167514e-32
"b0020",513.450743244087,0.239702569409991,0.0827674895085984,2.89609568724553,0.00377837171539368,0.00817253165037395
"b0021",70.9352776785616,-0.25697509860853,0.254304937230728,-1.0104998408874,0.312255875623938,0.40204220679502
"b0022",145.928173539223,-0.48637976393823,0.161824561028447,-3.0055991553268,0.00265058160248605,0.00587360201574441
"b0023",2167.12061697231,-0.442781425077548,0.0810669610819183,-5.46192208475801,4.71006810569976e-08,1.87450320750735e-07
"b0024",181.953122246614,0.8154974597008,0.146902166035123,5.55129636077538,2.83558897744028e-08,1.14427775138084e-07
"b0025",1946.42988470439,-0.196653904727346,0.0900968938948779,-2.1826935005861,0.0290583888846242,0.0520143959778516
"b0026",5036.27201037033,1.00259679186534,0.0853724343455073,11.7437999695285,7.59935622322906e-32,1.4432110722185e-30
"b0027",707.768278777499,1.63090214656706,0.0871452647429043,18.7147534794752,3.7535413828237e-78,4.51467616322961e-76
"b0028",485.910869604189,1.53102382777792,0.125244662791447,12.2242640417127,2.30661191470364e-34,5.17493761174444e-33
"b0029",836.346305945029,1.44074147190236,0.113839099972242,12.6559457361633,1.03718981340664e-36,2.56630393831472e-35
"b0030",69.3620949092858,0.280528598672392,0.144916116694933,1.93579986181206,0.0528922178622482,0.0883236804255822
"b0031",377.932224669397,0.267365631336324,0.094464976797505,2.83031489976914,0.00465022101579608,0.00991406056051061
"b0032",1002.03199616515,-1.62325190898527,0.0734839819854722,-22.0898740803974,3.95496593041734e-108,1.22321446276479e-105
"b0033",1544.12132775634,2.4073276435218,0.0697748657110349,34.5013583185024,7.65392032063008e-261,1.65707374941641e-257
"b0034",88.5953164352798,0.544813934381023,0.20257324523732,2.68946638902269,0.00715663535696635,0.0148056526974029
"b0035",149.116685002085,0.0342379747696335,0.342155806311568,0.100065450119693,0.920292364432533,0.942940354470626
"b0036",124.556426187833,0.39985064706912,0.587752451999178,0.680304515462369,0.496311666000532,0.584929100104056
"b0037",665.380320493865,0.671062757509828,0.202123273172611,3.32006674430186,0.000899959291033256,0.00214701031965509
