	PD_131_R10_S1_1	PD_131_R10_S2_1	PD_131_R11_S1_1	PD_131_R11_S2_1	PD_131_R12_S1_1	PD_131_R12_S2_1	PD_131_R13_S1_1	PD_131_R13_S2_1	PD_131_R14_S1_1	PD_131_R15_S1_1	PD_131_R16_S1_1	PD_131_R5_S1_1	PD_131_R6_S1_1	PD_131_R7_S1_1	PD_131_R8_S1_1	PD_131_R8_S2_1	PD_131_R9_S1_1	PD_131_R9_S2_1
b0001	998	1095	53	53	76	33	42	31	210	707	444	979	1387	943	815	544	1459	638
b0002	3138	2611	2680	2771	2963	2900	2986	2954	955	40575	8685	2035	1832	1840	2901	2516	3135	3101
b0003	726	2120	808	910	955	820	806	886	797	8273	2681	853	860	861	593	2129	651	2415
b0004	892	2861	1126	1185	1183	1115	1150	1200	437	8160	1891	968	912	867	801	2880	895	3426
b0005	38	42	27	30	34	23	23	33	49	94	83	36	44	33	41	50	42	60
b0006	723	196	22	21	24	26	22	26	174	131	150	411	323	393	693	161	651	216
b0007	194	264	99	84	92	106	97	98	221	160	199	244	208	232	243	216	259	247
b0008	7090	4944	4113	4529	4577	4720	4789	4694	6180	6607	6245	6632	6202	6450	7446	4917	7383	5341
b0009	238	115	370	334	369	391	401	391	346	297	367	150	137	118	215	88	200	95
b0010	625	803	566	483	459	470	519	470	816	763	844	664	713	689	751	796	749	816
b0011	52	56	36	50	35	30	34	42	33	19	27	47	56	42	52	51	48	35
b0012	3	1	34	42	41	55	51	39	13	9	10	7	1	6	3	3	2	4
b0013	5	6	4	4	7	2	4	2	6	4	6	3	6	5	9	2	5	0
b0014	13615	15072	23956	22012	24449	24550	24347	25032	63441	44392	58830	14004	11622	12758	14745	15459	14081	16409
b0015	1657	1579	4853	4598	4801	5107	5068	5424	4802	3287	4159	1430	1403	1293	1642	1350	1577	1582
b0016	504	386	2527	2439	2452	2543	2765	2844	1151	765	983	478	393	402	465	293	411	348
b0018	134	177	133	126	125	139	127	141	177	164	199	172	168	159	153	192	162	187
b4412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0019	4536	7567	831	757	794	838	812	747	3181	3337	3154	5726	5159	5340	4937	6701	5531	7351
b0020	768	779	238	204	205	241	197	232	652	596	628	802	772	738	844	733	783	811
b0021	44	21	60	60	74	58	58	66	183	173	169	24	36	23	45	26	23	30
b0022	126	110	85	87	88	92	72	88	364	395	410	108	87	74	169	69	151	83
b0023	5814	3535	18	22	31	21	30	35	1891	2218	1953	4539	4908	4796	5680	3600	6549	3752
b0024	99	158	181	184	158	163	171	149	268	316	347	108	98	114	113	139	104	160
b0025	3538	2510	788	699	661	649	725	835	3023	3474	2596	2830	2748	2801	3328	2278	3282	2489
b0026	4904	7689	2729	2586	2494	2558	2784	2801	7182	9240	6543	6808	6155	6279	4747	7575	4507	8029
b0027	541	1435	402	363	371	383	403	424	755	987	836	887	951	844	525	1363	550	1310
b0028	382	835	335	305	256	340	373	338	524	766	535	548	497	450	337	819	343	866
b0029	548	1228	748	712	717	713	713	719	750	1144	708	746	700	722	540	1189	570	1278
b0030	136	142	21	19	27	17	21	15	25	30	26	154	128	127	152	135	143	153
b0031	761	747	137	134	115	116	146	132	278	330	251	565	630	548	723	756	737	690
b0032	4120	1066	72	74	64	75	80	76	77	62	53	2490	2273	2354	4292	1107	4088	1157
b0033	1334	5527	322	328	299	308	347	356	161	137	127	3377	2997	2998	1243	5544	1277	5708
b0034	82	83	82	88	55	65	76	86	63	79	81	91	113	110	90	136	89	92
b0035	17	9	275	253	315	268	267	282	21	19	11	8	25	18	10	11	17	17
b0036	6	4	225	205	253	241	261	253	8	9	5	8	2	2	3	6	3	3
b0037	36	45	1209	1122	1213	1292	1371	1258	90	106	104	56	53	51	35	44	33	47
b0038	50	35	1779	1837	1680	1718	2044	1966	121	113	140	42	23	32	34	40	30	28
b0039	123	107	1545	1588	1469	1502	1664	1541	358	326	365	94	101	90	113	107	131	121
b0040	24	22	26	31	38	26	44	42	33	34	24	26	27	24	40	14	32	13
b0041	10	5	1489	1480	1746	1797	1735	1894	6	8	1	9	5	4	8	11	6	13
b0042	7	7	1193	998	1410	1235	1466	1426	7	4	5	8	8	6	6	3	4	2
b0043	18	11	1204	1237	1604	1462	1562	1653	12	13	9	5	17	10	11	13	7	15
b0044	0	1	148	132	149	166	175	175	1	3	1	1	5	1	2	1	0	1
b0045	22	15	529	534	599	649	586	554	23	8	14	16	11	12	21	13	15	17
b0046	184	129	43	47	51	63	57	53	45	38	34	195	173	163	182	137	178	177
b0047	318	293	79	87	79	86	87	77	86	71	69	412	353	307	347	261	353	311
b0048	978	664	57	61	58	63	83	79	508	502	468	880	897	897	1194	682	1257	656
b0049	798	717	209	207	224	220	220	254	702	959	902	785	667	685	751	692	797	696
b0050	928	1241	258	214	238	274	288	270	1099	1316	1303	1024	974	912	982	1059	966	1149
b0051	1422	1670	439	408	493	499	500	509	1318	1526	1485	1503	1479	1394	1421	1453	1373	1599
b0052	754	1146	146	128	122	128	130	118	519	576	522	979	923	844	815	1003	793	1009
b0053	2576	3588	303	280	359	322	354	331	1739	1650	1551	3882	3409	3510	2360	3597	2428	3988
b0054	10536	7267	628	690	799	788	728	694	4509	4978	4552	9405	8304	9040	10750	6520	10867	7504
b0055	572	302	196	169	182	190	169	198	531	488	452	486	510	437	542	321	515	311
b0056	330	433	292	307	333	340	287	292	451	415	421	429	458	418	325	346	350	424
b0057	281	324	284	220	204	189	229	198	143	116	159	251	285	253	231	300	215	342
b0058	470	593	757	744	687	704	751	811	575	539	541	499	459	531	454	599	423	609
b0059	1609	1447	2098	2055	2143	2221	2070	2277	1773	1928	1836	1394	1180	1171	1532	1306	1525	1425
b0060	644	860	247	289	269	284	257	248	874	898	861	750	637	627	673	786	623	855
b0061	3	0	0	0	1	0	2	2	1	0	0	0	2	0	1	1	1	2
b0062	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
b0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0064	408	460	196	189	156	213	210	214	155	241	190	505	452	412	466	406	465	447
b0065	459	601	1865	1961	1820	1764	1897	1618	442	391	430	692	656	645	549	571	556	647
b0066	18	27	10	10	15	16	13	9	10	10	5	21	22	25	16	30	19	19
b0067	62	44	45	50	72	60	51	51	29	36	31	46	55	43	48	50	49	32
b0068	113	48	117	122	131	129	111	118	74	70	93	105	82	80	118	43	119	49
b0069	313	287	1128	1062	1044	1145	1164	1158	535	586	694	297	335	310	322	264	291	278
b4662	224	589	99	134	123	111	97	96	1721	1910	1896	370	517	391	229	414	356	355
b0070	569	409	65	50	69	58	61	58	307	418	412	555	551	545	529	375	606	417
b0071	2703	3340	421	507	450	436	426	411	6770	819	317	2079	2058	1954	2624	2908	2631	3113
b0072	5364	10905	956	986	945	1021	975	1072	20572	2002	632	4249	3820	4031	5082	8676	4865	9564
b0073	4469	9935	642	722	718	714	697	802	18931	1528	606	3527	3223	3297	4204	8406	3994	8781
b0074	6655	10187	998	1007	1051	1057	1121	1050	25139	2913	889	4676	4077	4416	6642	9021	6102	9664
b0075	223	428	9	11	19	14	6	7	177	56	40	287	204	183	226	188	310	180
b0076	119	77	2952	2696	2857	3031	2766	2622	268	207	175	126	101	96	114	92	123	86
b4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0077	2953	1478	279	259	292	257	298	298	941	848	643	2522	2380	2302	2841	1405	2878	1528
b0078	814	977	233	207	228	216	204	241	310	303	237	1052	998	1011	703	928	712	1025
b0080	1831	995	367	295	353	369	390	403	1172	1069	771	1457	1408	1312	1680	1121	1619	1120
b0081	1768	1372	144	130	122	123	152	157	1563	1412	1182	1456	1776	1505	1906	1423	1884	1439
b0082	1840	1803	166	150	189	170	160	166	1114	1227	970	1532	1753	1631	1523	1921	1737	1713
b0083	637	575	55	59	50	76	74	62	337	386	231	548	695	546	525	620	579	592
b0084	1143	1739	241	220	228	234	256	221	733	711	497	1426	1567	1473	1117	1741	1180	1648
b0085	862	1758	84	75	91	111	92	110	580	551	404	1045	1162	1129	815	1801	779	1849
b0086	648	1370	80	77	91	108	101	78	393	418	288	816	804	849	658	1398	614	1349
b0087	902	1668	87	114	110	110	110	94	429	390	303	1057	1070	1020	871	1510	1004	1509
b0088	1228	1273	127	148	137	136	164	143	581	539	412	1040	1107	1063	1104	1206	1095	1139
b0089	1254	1455	350	395	352	366	337	327	570	569	546	1176	1235	1242	1226	1379	1293	1412
b0090	1123	1264	309	376	400	363	376	343	504	508	429	1105	1087	1006	1064	1196	975	1204
b0091	1059	1575	473	541	482	476	564	503	580	682	557	1357	1474	1338	1014	1644	1080	1622
b0092	1334	2301	855	899	964	858	847	844	935	974	801	1684	1735	1598	1238	2305	1326	2278
b0093	1096	2195	941	1105	1107	981	968	1012	784	765	734	1481	1601	1427	1119	2092	1111	2221
b0094	1686	2467	5479	4943	5140	5140	4790	5061	1217	1317	1187	1838	1933	1754	1595	2280	1618	2078
b0095	3164	4074	14824	14005	13619	13374	14785	14652	2022	2375	2124	3690	3296	3570	3260	4075	3229	3929
b0096	18885	24864	100676	105116	108318	101209	98487	101972	77026	72662	85168	21744	21748	21225	18538	26192	20294	25319
b0097	1528	870	852	869	878	883	1102	913	1477	1300	1292	1364	1384	1303	1543	866	1443	942
b0098	1849	2657	3714	4074	3976	3858	4164	4151	4448	3454	3698	2811	2464	2794	1743	2375	1940	2529
b0099	49	106	130	117	103	118	97	108	122	96	97	72	76	80	77	81	60	84
b0101	183	147	48	36	49	37	45	52	138	173	162	208	171	182	164	129	145	151
b0102	809	591	136	138	132	138	138	140	435	487	351	724	672	698	776	560	829	612
b0103	792	607	69	51	54	68	55	58	394	476	359	782	746	672	822	624	821	673
b4727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0104	1392	719	69	90	90	100	87	101	192	228	228	1148	1031	1000	1395	628	1344	681
b0106	94	62	136	131	128	102	139	129	74	65	63	83	91	81	88	75	96	61
b0107	159	90	491	510	440	472	507	480	259	289	315	124	100	111	167	97	147	82
b0108	2	0	1	3	0	0	4	2	4	3	0	7	4	3	7	3	5	7
b0109	1358	521	64	64	75	56	51	72	715	768	651	918	871	897	1462	508	1543	619
b0110	662	490	199	142	182	193	197	184	748	700	766	598	592	520	706	483	738	520
b0111	508	464	164	124	133	182	156	165	357	438	385	557	458	516	494	469	525	513
b0112	3131	3919	666	652	581	583	678	670	354	480	402	4385	4115	4165	3303	3699	3198	3930
b0113	1033	480	11037	11181	11161	11463	11532	12244	1465	1248	1717	778	736	711	1231	488	1408	506
b0114	6657	8848	81046	79983	81430	83067	85637	86720	20864	21511	21707	8066	6875	7289	6859	8177	6531	9180
b0115	3254	5348	35206	33555	36232	36544	39184	40361	7886	8219	8946	3640	3327	3333	2989	5195	2973	5162
b0116	7267	7694	24863	25346	24996	23673	24844	26609	14192	15778	13419	7883	6986	7132	7399	7391	7528	7174
b0117	156	108	15	30	21	26	19	31	60	56	69	141	113	143	182	95	155	127
b0118	34278	32002	8419	8471	7947	8245	9301	9701	24806	32133	23282	38921	35092	33563	30473	31920	29338	32522
b0119	389	592	195	200	184	202	208	195	406	439	353	394	445	398	410	553	447	637
b0120	948	1186	67	74	62	55	71	80	383	401	282	906	775	868	996	1033	962	1303
b0121	1364	1032	61	42	39	58	49	43	464	519	356	1115	884	919	1403	955	1290	1020
b0122	898	449	28	16	21	23	21	12	636	655	537	674	652	614	873	373	935	462
b0123	606	446	228	191	247	217	233	217	382	464	387	560	564	524	556	420	599	480
b0124	3308	3661	1967	2006	1928	1829	2101	2064	4440	4675	3975	3299	2786	2861	3387	3258	3209	3485
b0125	1459	791	112	103	112	114	107	102	1683	2054	1671	1133	1018	1064	1307	674	1379	773
b0126	5526	2701	88	89	93	89	108	101	6592	4543	5252	4427	3887	4501	6013	2396	6193	2626
b0127	708	505	138	164	174	203	190	191	679	774	568	589	514	550	633	493	643	563
b0128	647	875	210	246	241	227	205	195	833	995	855	775	669	720	706	768	755	843
b0129	310	404	36	22	41	22	36	38	91	110	99	342	418	386	334	313	287	350
b0130	233	167	361	343	359	385	380	394	192	200	213	199	203	174	224	151	230	166
b0131	3728	1968	23	16	15	20	27	35	770	1158	668	2666	2470	2238	3611	1966	3389	2078
b0132	215	183	87	64	71	98	78	79	153	139	147	206	218	194	193	138	237	162
b0133	2533	1516	342	356	361	369	368	414	1997	2119	1567	2043	1767	1985	2646	1357	2596	1550
b0134	2203	877	216	204	274	230	253	271	1262	1371	1171	1535	1309	1270	1891	867	1918	938
b0135	25	32	618	625	653	699	679	639	11	15	15	35	30	39	33	17	21	22
