"","loadings.PC1","loadings.PC2","loadings.PC3","loadings.PC4","loadings.PC5","loadings.PC6","loadings.PC7","loadings.PC8","loadings.PC9","loadings.PC10","loadings.PC11","loadings.PC12","loadings.PC13","loadings.PC14","loadings.PC15","loadings.PC16","loadings.PC17","loadings.PC18"
"b4664",-0.00361274113521299,0.0085644038208829,-0.0272887279595128,-0.0291001196160669,0.0564224108445506,-0.0254954315922948,-0.0121062852014764,0.00881223371501053,0.0262964514202628,0.0151873266024863,-0.0433573084822575,0.0754333047895003,-0.115625986973305,-0.035221301275501,-0.0315857390352957,-0.0463024827774062,-0.036638323925583,0.690254323727186
"b2018",-0.0040985101582232,0.00232865235732718,0.0255773520051954,-0.049771618791498,-0.0380985194567045,0.00157393705350856,-0.0065484145181331,0.000303424013009311,0.0161955622679475,-0.0381741659888164,-0.0778787547967302,0.0753197961477689,0.0638628307329746,-0.111907591935768,0.0327516623551621,0.0152830486793379,-0.0162568890176039,0.446675756588542
"b4730",0.00668659662655913,0.00238653979800962,-0.000361548146544991,0.00250435594808082,0.033422382553402,0.037428664508333,0.0383910023927141,-0.0731048744033632,0.118704254277962,-0.00682708157241898,0.04078953932032,0.0743825530812069,0.0568518256289292,0.046648919678,-9.32814450739511e-05,-0.0025095045093789,0.0105023485484728,-0.399420651076778
"b0697",-0.0171293687710476,-0.0124825968280184,0.00842318533486708,-0.013008370967481,0.00975196424477445,-0.00170649936885087,0.0224975545897049,-0.0213440886358157,0.00891788434778861,0.00738505291921829,-0.0212734055500866,0.0161733406747861,0.00693989519580224,-0.0496838220837071,5.81156089857782e-05,-0.00872757352017819,-0.0153247566380813,-0.0936726272769354
"b2308",0.00699112829608048,0.0352894608669033,0.00278776574483649,0.00273702286577875,-0.00348343687308716,0.00458014589974087,0.00678697361869799,0.0113999018949265,-0.00558285081943891,0.00217437802764922,0.00794429966515931,-0.0036982356788938,0.000526628307969451,-0.00609286938126932,-0.00111384987475161,0.000614918847453741,-0.0138563681903219,0.170875112446037
"b0051",-0.017686714161088,-0.0140714705606218,-0.00920759283753132,-0.000673271352351434,-0.0112027772252933,-0.00733620310587203,-0.00615084798716325,0.0205851570059195,-0.00462858224020336,0.00505873409431209,0.00172685885408401,0.00372019390354565,-0.00311989775225945,-0.00402530661181272,-0.00523803225475398,0.00142269061479385,-0.00367469624343909,0.107264139358543
"b0122",-0.0188045232917858,-0.00903383439844864,0.00561056678103287,0.00110125398160824,0.0089644259205319,-0.000820678895535947,-0.0042575752732435,-0.00474816126304846,-0.0108701823615125,-0.0067185236929973,0.00170513113281245,-0.00197166605992678,0.00169908919161259,-0.00854767084727368,-0.00345075349284608,0.00206989352912967,-2.84318209298473e-05,-0.0887394164201081
"b0363",0.0193686490167611,0.00284566774690732,0.0043485345464842,0.00496896392133171,-0.00399311693966928,0.00528765975515381,-0.00756946079072997,0.00262347815121469,-0.00477553670874065,0.00306907992398408,-0.00343039886526436,0.00191840620404107,-0.00100433811602806,0.00742241231310166,-0.00684178896604075,0.00325914284478724,-0.00162043872980491,0.0746648105949384
"b0705",0.0194953233899205,0.00165103169192023,0.000180375104566702,0.000624995288448954,-0.00517148108445194,0.000683287454780366,-0.00291013049855058,0.00231574053601944,-0.000538131669283622,-0.000757124404316272,-0.00332400217775087,0.00367244932369295,0.00471654698793194,-0.00565610656295334,0.00063472456530572,0.00261691955456668,-0.00463303514497342,0.102077943648475
"b0719",0.0194587185721939,0.000280834898358609,0.00140104768853992,0.00555021805605096,-0.00377237608061642,0.0012641948324799,-0.00334376428719266,-0.00569759232227767,-0.0052872737765117,0.000581196586205736,-0.00259337589622196,-0.00607410697271155,-0.00835363494666333,-0.00347799644057329,0.00835109786999395,0.0078029453440592,8.30220300312786e-05,-0.0969114668501957
