Geneid,PD_131_R10_S1_1,PD_131_R10_S2_1,PD_131_R11_S1_1,PD_131_R11_S2_1,PD_131_R12_S1_1,PD_131_R12_S2_1,PD_131_R13_S1_1,PD_131_R13_S2_1,PD_131_R14_S1_1,PD_131_R15_S1_1,PD_131_R16_S1_1,PD_131_R5_S1_1,PD_131_R6_S1_1,PD_131_R7_S1_1,PD_131_R8_S1_1,PD_131_R8_S2_1,PD_131_R9_S1_1,PD_131_R9_S2_1
b0001,10.542070515068108,10.524912790304166,6.857832286520706,6.906025748916629,7.443168434091143,6.222592833442658,6.562537627275866,6.1327689147469,8.685034587071808,10.323595928979833,9.744800567389287,10.45448160789569,10.96187323190674,10.4341924921576,10.221537568737006,9.69176928460271,11.011117128031936,9.842717546495257
b0002,6.983475611095836,6.571052111297177,7.292859911179274,7.389042159649024,7.505922175354041,7.447070908143826,7.48514195339585,7.472657100139886,5.673379757431658,10.94413240360824,8.814413707350779,6.305648908960802,6.161097270205587,6.19553903653352,6.842823719042129,6.691694694985598,6.904192220858102,6.912469968886047
b0003,6.279387134652606,7.662864208008055,6.9658791352239255,7.184361989492166,7.27429447879151,7.027987102366468,6.99949159128091,7.137967891785562,6.7974053241493575,10.051119472616872,8.51985438992075,6.449948298200487,6.46665665695298,6.496631768031476,5.963528121633016,7.843477069075736,6.046817395793205,7.946063334722301
b0004,6.114675620493188,7.631414056618623,6.980478566076665,7.101835628726428,7.120166829481776,7.007431794504187,7.047836198028546,7.111749831641468,5.485923336581158,9.567756799580849,7.555920919654563,6.171899143527632,6.092188700506824,6.048484856661996,5.933725686601088,7.815430713707442,6.042057691428066,7.98634051565969
b0005,3.766328999332126,3.76021639990918,3.809158644692844,3.996344237953119,4.185987637904856,3.633577527341857,3.6300163479539984,4.117914412189153,4.47828684541244,5.279205274560736,5.193782746964573,3.639004886827371,3.912070668762539,3.554808238403348,3.8416128551132673,4.15956595365964,3.827428749290888,4.334063217055289
b0006,6.534331172938328,4.547598527877058,2.337528703986918,2.3227009033926027,2.4960143585266668,2.5682187274573702,2.3676506776212785,2.567483345507072,4.901927433048736,4.402816012453566,4.677647009753668,5.672474119998685,5.337539163194348,5.642223939223949,6.445654604176967,4.443956403491809,6.307126506621234,4.774926336916436
b0007,3.8438512575990154,4.118729409098882,3.447104432672256,3.277010184853177,3.414182548249695,3.574721212316352,3.4543836911994004,3.470556271331372,4.387403731652248,3.8445136332384098,4.226135866561009,4.09745231850361,3.886431735994676,4.060751427847904,4.121436942228357,4.011387983704997,4.161035017813243,4.1191892257049885
b0008,9.518293859217374,8.848363274178574,9.272278641668866,9.4596011780245,9.495662037841123,9.51184640020368,9.52888706533746,9.503004977958318,9.708944190956451,9.694973216240612,9.705465752408758,9.36225871766051,9.270801567531011,9.355871014522531,9.560383102992134,9.015462651333266,9.498190205190244,9.055888988199044
b0009,5.35347217800135,4.198243504944732,6.509446035276122,6.41149968697122,6.5743448073677,6.629144583347438,6.661379248485217,6.628268953245895,6.265505450764236,5.939642956479441,6.331091966787724,4.650448169533559,4.529990347290123,4.351843398341385,5.182861186862435,3.9998347422036633,5.032983869361343,4.029475889500489
b0010,6.776329777003764,6.985096775306804,7.169324893935814,6.990484255444223,6.93827843152222,6.9442184222900085,7.082340574715857,6.943341038435759,7.544641862738008,7.33857278401644,7.574578836517487,6.80349057124372,6.910388606522435,6.889802091246972,7.010761669844868,7.146592903829149,6.957321286524892,7.103873824897212
b0011,3.0314656487724307,2.992855518764308,3.03910292132386,3.5072982956543086,3.064487307406908,2.846262200492485,2.9996475313113704,3.2724075660605907,2.7999224328099324,2.06382086559525,2.5403321547682176,2.852495206290968,3.0772992650134503,2.742463852255934,3.0064518009027648,3.028253745503818,2.862614876800676,2.4985793131769984
