Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
PD_131_R10_S1_1	12022808	6363788	190224	1092206	0	0	0	0	636	0	0	0	0	3933884	369401	72669	52.93096255051233	12022808.0	10930602.0	90.92	1092206.0	9.08	PD_131_R10_S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12022808.0	0.0	20-100	51.0	24.45432530078384	99.08428097662376	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12023072	4820971	12023072	1202307200	657149	1195684145	0.5508621257528857	0.0184	0.546	0.4356
PD_131_R10_S2_1	12130068	6538585	215167	1016155	0	0	0	0	572	0	0	0	0	3889584	407558	62447	53.90394348984688	12130068.0	11113913.0	91.62	1016155.0	8.38	PD_131_R10_S2_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12130068.0	0.0	20-100	51.0	30.251145242088604	99.05690569912716	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12130472	4847598	12130472	1213047200	603143	1206378162	0.5497756393980382	0.0194	0.5221	0.4585
PD_131_R11_S1_1	12009996	5204541	163050	1134006	0	0	0	0	927	0	0	0	0	5018192	431337	57943	43.33507688095816	12009996.0	10875990.0	90.56	1134006.0	9.44	PD_131_R11_S1_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12009996.0	0.0	20-100	50.0	33.03205155039327	98.97174287152136	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12010703	4824569	12010703	1201070300	542778	1194648004	0.5347144126367956	0.0392	0.5822	0.3787
PD_131_R11_S2_1	12233716	5142372	153881	980739	0	0	0	0	3793	0	0	0	0	5461811	415241	75879	42.03442355536127	12233716.0	11252977.0	91.98	980739.0	8.02	PD_131_R11_S2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12233716.0	0.0	20-100	50.0	21.871834222903743	99.05617704383523	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12234404	5234134	12234404	1223440400	470668	1216682906	0.552335365090118	0.039	0.5966	0.3644
PD_131_R12_S1_1	12251732	5111775	192760	1065103	0	0	0	0	2102	0	0	0	0	5409994	403463	66535	41.722876406372585	12251732.0	11186629.0	91.31	1065103.0	8.69	PD_131_R12_S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12251732.0	0.0	20-100	50.0	20.9528581343316	99.07520161231082	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12252398	4686852	12252398	1225239800	1574220	1216873297	0.6828461661137681	0.039	0.5783	0.3827
PD_131_R12_S2_1	12094265	5229081	145701	1041227	0	0	0	0	2429	0	0	0	0	5165199	435904	74724	43.236037907222965	12094265.0	11053038.0	91.39	1041227.0	8.61	PD_131_R12_S2_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12094265.0	0.0	20-100	50.0	30.57231920712505	99.00262760903618	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12094909	4672771	12094909	1209490900	1584555	1201123883	0.691780070441208	0.0397	0.5864	0.3739
PD_131_R13_S1_1	12142974	5208605	242551	1188344	0	0	0	0	1064	0	0	0	0	5007714	430521	64175	42.89398132615618	12142974.0	10954630.0	90.21	1188344.0	9.79	PD_131_R13_S1_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12142974.0	0.0	20-100	50.0	34.130808033613064	99.16654091493568	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12143068	3761424	12143068	1214306800	577162	1209008318	0.4363379995895601	0.0403	0.5819	0.3778
PD_131_R13_S2_1	12108136	5230068	205759	1159746	0	0	0	0	817	0	0	0	0	5025837	420746	65163	43.19465853373302	12108136.0	10948390.0	90.42	1159746.0	9.58	PD_131_R13_S2_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12108136.0	0.0	20-100	50.0	30.73974261849781	98.9689463349272	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12108691	4863435	12108691	1210869100	600338	1204343286	0.5389363722304913	0.0386	0.5977	0.3637
PD_131_R14_S1_1	12082453	5237729	172588	1008980	0	0	0	0	3251	0	0	0	0	5211515	368549	79841	43.34988102167664	12082453.0	11073473.0	91.65	1008980.0	8.35	PD_131_R14_S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12082453.0	0.0	20-100	51.0	21.247066033729023	99.05276188535557	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12083125	5223161	12083125	1208312500	431580	1201608794	0.5547990275694409	0.0191	0.5886	0.3923
PD_131_R15_S1_1	12146342	5523390	286194	1106413	0	0	0	0	1666	0	0	0	0	4803934	358581	66164	45.47369076220643	12146342.0	11039929.0	90.89	1106413.0	9.11	PD_131_R15_S1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12146342.0	0.0	20-100	52.0	22.452897705425062	99.07633606891687	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12147022	4724541	12147022	1214702200	1695303	1206180451	0.70155047055978	0.0198	0.5663	0.4138
